modelo,Macro-F1 CV,Desvio CV
RandomForest,0.9896866187181921,0.0015935364178542434
HistGradientBoosting,0.9893741744132638,0.0025003998759965144
ExtraTrees,0.9884365073103382,0.0027244403745214398
