Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Logistic Regression,0.3993,0.0,0.3993,0.3153,0.3174,0.3135,0.337,0.0,3.912
Decision Tree Classifier,0.664,0.8086,0.664,0.6639,0.6635,0.616,0.6161,0.0,0.276
Random Forest Classifier,0.7179,0.9502,0.7179,0.7206,0.7184,0.6776,0.6778,0.0,2.754
Extra Trees Classifier,0.6893,0.9337,0.6893,0.6925,0.69,0.6449,0.6451,0.0,1.714
Light Gradient Boosting Machine,0.7347,0.0,0.7347,0.7385,0.7351,0.6968,0.6972,0.0,2.518
Extreme Gradient Boosting,0.7254,0.9563,0.7254,0.7283,0.7253,0.6862,0.6866,0.0,2.724
