,precision,recall,f1-score,support
Benign,0.9832693632516485,0.9991,0.991121472149199,10000.0
Malicious,0.9990852728935867,0.983,0.9909773678108775,10000.0
accuracy,0.99105,0.99105,0.99105,0.99105
macro avg,0.9911773180726176,0.99105,0.9910494199800383,20000.0
weighted avg,0.9911773180726177,0.99105,0.9910494199800381,20000.0
