Framework,Macro-F1
flaml,0.9912494607698964
autogluon,0.9912494607698964
autopytorch,0.9910993719716864
pycaret,0.9910494199800384
sklearn,0.9909993799472844
tpot,0.990899388074854
autosklearn,0.990799287496824
lazypredict,0.9906993592788608
h2o,0.9885497732568848
autokeras,0.9824488626424214
