rank,ensemble_weight,type,cost,duration
1,0.08,random_forest,0.2673669077785882,18.86480736732483
2,0.08,random_forest,0.27172239942143506,39.6802761554718
3,0.04,extra_trees,0.2774756043882419,162.37871050834656
4,0.04,mlp,0.32511591905974113,12.135014057159424
5,0.44,adaboost,0.5258953896530048,6.332659482955933
6,0.32,qda,0.9040515317150504,26.520392417907715
