model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost_BAG_L2,0.991349466932526,0.9919245577887845,f1_macro,3.1803297996520996,9.23512077331543,124.367990732193,0.5045595169067383,0.2272799015045166,20.718968629837036,2,True,9
WeightedEnsemble_L3,0.9912494607698963,0.9919620789623926,f1_macro,3.3629539012908936,12.637134790420532,161.49125909805298,0.007539033889770508,0.014495372772216797,2.1320247650146484,3,True,10
RandomForest_BAG_L2,0.9912494469431704,0.9918620737239777,f1_macro,3.18113112449646,12.541740655899048,146.49750185012817,0.5053608417510986,3.5338997840881348,42.84847974777222,2,True,7
ExtraTrees_BAG_L2,0.9912494187645179,0.9917995509434097,f1_macro,3.312875270843506,13.671191930770874,117.78963470458984,0.6371049880981445,4.663351058959961,14.140612602233887,2,True,8
LightGBM_BAG_L2,0.991099472287712,0.9919370834684722,f1_macro,2.8500540256500244,9.08873963356018,116.51075458526611,0.17428374290466309,0.08089876174926758,12.861732482910156,2,True,6
LightGBM_BAG_L1,0.9910494199800383,0.9917744931237025,f1_macro,0.5835919380187988,0.27463793754577637,22.729482650756836,0.5835919380187988,0.27463793754577637,22.729482650756836,1,True,1
WeightedEnsemble_L2,0.9910494199800383,0.9917744931237025,f1_macro,0.589855432510376,0.2981231212615967,24.43687915802002,0.0062634944915771484,0.023485183715820312,1.7073965072631836,2,True,5
RandomForest_BAG_L1,0.9908493619946417,0.9915620300986853,f1_macro,0.5839574337005615,4.1297221183776855,40.75080394744873,0.5839574337005615,4.1297221183776855,40.75080394744873,1,True,2
XGBoost_BAG_L1,0.9907993035992895,0.9914494355291423,f1_macro,0.6710352897644043,0.34724903106689453,25.757968187332153,0.6710352897644043,0.34724903106689453,25.757968187332153,1,True,4
ExtraTrees_BAG_L1,0.9884987077147989,0.9897366242117112,f1_macro,0.8371856212615967,4.256231784820557,14.410767316818237,0.8371856212615967,4.256231784820557,14.410767316818237,1,True,3
