,precision,recall,f1-score,support
Benign,0.9826873893370057,0.999,0.9907765545968462,10000.0
Malicious,0.998983119788489,0.9824,0.9906221639608752,10000.0
accuracy,0.9907,0.9907,0.9907,0.9907
macro avg,0.9908352545627473,0.9907,0.9906993592788607,20000.0
weighted avg,0.9908352545627472,0.9907,0.9906993592788608,20000.0
