,Pred_Backdoor_Malware,Pred_BenignTraffic,Pred_BrowserHijacking,Pred_CommandInjection,Pred_DDoS-ACK_Fragmentation,Pred_DDoS-HTTP_Flood,Pred_DDoS-ICMP_Flood,Pred_DDoS-ICMP_Fragmentation,Pred_DDoS-PSHACK_Flood,Pred_DDoS-RSTFINFlood,Pred_DDoS-SYN_Flood,Pred_DDoS-SlowLoris,Pred_DDoS-SynonymousIP_Flood,Pred_DDoS-TCP_Flood,Pred_DDoS-UDP_Flood,Pred_DDoS-UDP_Fragmentation,Pred_DictionaryBruteForce,Pred_DNS_Spoofing,Pred_DoS-HTTP_Flood,Pred_DoS-SYN_Flood,Pred_DoS-TCP_Flood,Pred_DoS-UDP_Flood,Pred_MITM-ArpSpoofing,Pred_Mirai-greeth_flood,Pred_Mirai-greip_flood,Pred_Mirai-udpplain,Pred_Recon-HostDiscovery,Pred_Recon-OSScan,Pred_Recon-PingSweep,Pred_Recon-PortScan,Pred_SqlInjection,Pred_Uploading_Attack,Pred_VulnerabilityScan,Pred_XSS
Real_DNS_Spoofing,0.0175,0.0175,0.04,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0175,0.5625,0.0,0.0,0.0,0.0,0.215,0.0,0.0,0.0,0.0075,0.01,0.0075,0.0225,0.0125,0.005,0.035,0.02
Real_DoS-HTTP_Flood,0.005,0.0025,0.0,0.0,0.0025,0.2025,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.005,0.0,0.0,0.0,0.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_DoS-SYN_Flood,0.0,0.0,0.0,0.0,0.01,0.0025,0.01,0.0525,0.0075,0.0,0.2725,0.0,0.0875,0.0425,0.045,0.005,0.0,0.0,0.0125,0.395,0.025,0.015,0.0,0.0075,0.0,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.005,0.0
Real_DoS-TCP_Flood,0.0,0.0,0.0,0.0,0.01,0.0025,0.0175,0.0,0.0,0.005,0.0,0.0,0.0,0.2825,0.0175,0.02,0.0025,0.0,0.0,0.0025,0.61,0.01,0.0,0.0025,0.0125,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0
Real_DoS-UDP_Flood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0275,0.0475,0.0,0.0,0.0025,0.0,0.0,0.4225,0.04,0.0,0.0,0.0,0.0,0.01,0.3875,0.0,0.0,0.0,0.0525,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0,0.0025
Real_MITM-ArpSpoofing,0.0125,0.0175,0.09,0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.18,0.0,0.0,0.0,0.0,0.5375,0.0,0.0,0.0,0.01,0.0175,0.025,0.0125,0.015,0.015,0.005,0.0275
Real_Mirai-greeth_flood,0.0,0.0,0.0,0.0,0.0275,0.0025,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.9125,0.035,0.0025,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.005
Real_Mirai-greip_flood,0.0,0.0,0.0,0.0,0.0125,0.0,0.005,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0225,0.9475,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real_Mirai-udpplain,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.01,0.0,0.0,0.0,0.005,0.0,0.0,0.0025,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025
Real_Recon-HostDiscovery,0.035,0.0175,0.06,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425,0.0125,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.4625,0.06,0.0275,0.0725,0.0275,0.03,0.0375,0.0725
Real_Recon-OSScan,0.0175,0.1275,0.05,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.015,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0525,0.235,0.1125,0.1475,0.0525,0.0175,0.0675,0.0175
Real_Recon-PingSweep,0.0425,0.07,0.0375,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0675,0.0125,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0225,0.1075,0.2575,0.085,0.11,0.035,0.0775,0.03
Real_Recon-PortScan,0.03,0.0375,0.0275,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0125,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0525,0.2725,0.0675,0.21,0.0775,0.0225,0.0775,0.02
Real_SqlInjection,0.075,0.055,0.0275,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0575,0.0875,0.08,0.27,0.035,0.13,0.0475
Real_Uploading_Attack,0.164,0.036,0.068,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.036,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.032,0.02,0.036,0.048,0.048,0.172,0.044,0.164
Real_VulnerabilityScan,0.05,0.09,0.0625,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0275,0.0,0.0,0.0075,0.0,0.0125,0.0,0.0,0.0,0.04,0.07,0.0625,0.0575,0.1725,0.0275,0.19,0.0425
Real_XSS,0.135,0.05,0.045,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675,0.015,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0525,0.0425,0.05,0.0425,0.0525,0.11,0.0325,0.1625
