rank,ensemble_weight,type,cost,duration
1,0.7200000000000001,random_forest,0.008375455546261845,86.22434568405151
2,0.20000000000000004,random_forest,0.00868811851937501,118.05482792854309
3,0.04000000000000001,random_forest,0.011063823553110641,211.13149046897888
4,0.04000000000000001,passive_aggressive,0.013189793839107455,2.1928293704986572
