model_id,mean_per_class_error,logloss,rmse,mse
GBM_1_AutoML_1_20260729_160536,0.2424249306017783,0.4833390783006351,0.4048606717288454,0.1639121635127319
XGBoost_3_AutoML_1_20260729_160536,0.2445415194343775,0.483151653479153,0.4040955411728384,0.163293206395769
XGBoost_2_AutoML_1_20260729_160536,0.2459097833537827,0.4966721927210137,0.4039045300451098,0.163138869390961
XGBoost_1_AutoML_1_20260729_160536,0.2461331439013326,0.4971304893098107,0.4037227270667153,0.1629920403501854
GBM_4_AutoML_1_20260729_160536,0.2461378480991616,0.4884726417206944,0.4072120443987765,0.165821649103431
GBM_3_AutoML_1_20260729_160536,0.2489288085644086,0.4913060552909757,0.4099568357976511,0.1680646072172222
GBM_2_AutoML_1_20260729_160536,0.2515143440450233,0.4948730934879904,0.4118663852794451,0.1696339193231563
DRF_1_AutoML_1_20260729_160536,0.2639436395698875,0.5366518475393114,0.4304394272674454,0.1852781005463263
XRT_1_AutoML_1_20260729_160536,0.264885964439602,0.540092893639564,0.431656687541365,0.1863274958991836
GBM_5_AutoML_1_20260729_160536,0.2705993446569691,0.5257575936527676,0.4260613512441721,0.1815282750240098
GLM_1_AutoML_1_20260729_160536,0.3897743940686008,0.7702051393082654,0.5220611520226969,0.2725478464512654
