Framework,Métrica,Valor
autogluon,Accuracy,0.6770260223048327
autogluon,Balanced Accuracy,0.6719411764705884
autogluon,Precision Macro,0.6837549453269319
autogluon,Recall Macro,0.6719411764705884
autogluon,Macro-F1,0.6730008235285796
autogluon,Weighted-F1,0.6776856572430056
autogluon,MCC,0.6676764459078006
autogluon,ROC-AUC,
autogluon,Average Precision,
