Framework,Macro-F1
sklearn,0.9899994374683576
lazypredict,0.9899994374683576
pycaret,0.9899994374683576
h2o,0.98999899989999
tpot,0.98999899989999
autogluon,0.98999899989999
autosklearn,0.9887491386059246
flaml,0.9874996874921872
autopytorch,0.9824990155696258
autokeras,0.9774964838255976
