,Pred_Benign,Pred_BruteForce,Pred_DDoS,Pred_DoS,Pred_Mirai,Pred_Recon,Pred_Spoofing,Pred_Web
Real_Benign,0.7075,0.095,0.0,0.0,0.0,0.0825,0.0325,0.0825
Real_BruteForce,0.115,0.605,0.0,0.0,0.0,0.105,0.02,0.155
Real_DDoS,0.0,0.0,0.725,0.2725,0.0025,0.0,0.0,0.0
Real_DoS,0.0,0.0,0.1375,0.8625,0.0,0.0,0.0,0.0
Real_Mirai,0.0,0.0,0.0,0.005,0.995,0.0,0.0,0.0
Real_Recon,0.0725,0.1075,0.0,0.0,0.0,0.6175,0.02,0.1825
Real_Spoofing,0.08,0.0225,0.0,0.0,0.0,0.0175,0.8275,0.0525
Real_Web,0.06,0.145,0.0,0.0,0.0,0.1725,0.0425,0.58
