Framework,Macro-F1
autogluon,0.7556867857260903
autopytorch,0.7503320627226995
sklearn,0.7479086483599187
flaml,0.7454417943382969
lazypredict,0.7422055981231533
h2o,0.7406300488451406
autosklearn,0.7398964195116093
tpot,0.7386061274633005
pycaret,0.3454881405336344
autokeras,0.3125997185797958
