model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost\T1,0.9961557927540106,0.996553072030134,f1,0.3082559108734131,0.022869110107421875,6.165442228317261,0.3082559108734131,0.022869110107421875,6.165442228317261,1,True,1
XGBoost\T5,0.9960733914695069,0.996554786006038,f1,0.24885058403015137,0.023107290267944336,4.357482671737671,0.24885058403015137,0.023107290267944336,4.357482671737671,1,True,5
WeightedEnsemble_L2,0.9959939155281975,0.9967315617450618,f1,0.83367919921875,0.0760962963104248,17.525289058685303,0.013110637664794922,0.00325775146484375,0.3188948631286621,2,True,8
XGBoost\T4,0.9959763986635388,0.9966243826173471,f1,0.31395959854125977,0.02473926544189453,9.047985315322876,0.31395959854125977,0.02473926544189453,9.047985315322876,1,True,4
XGBoost\T6,0.9958653009458053,0.9963401201009132,f1,0.2949099540710449,0.04384112358093262,7.760877370834351,0.2949099540710449,0.04384112358093262,7.760877370834351,1,True,6
XGBoost\T2,0.9956849501978442,0.9963770689777651,f1,0.25775837898254395,0.024991989135742188,3.8009262084960938,0.25775837898254395,0.024991989135742188,3.8009262084960938,1,True,2
XGBoost\T7,0.9882603455880081,0.988271648289908,f1,0.2190096378326416,0.01691889762878418,2.188058614730835,0.2190096378326416,0.01691889762878418,2.188058614730835,1,True,7
XGBoost\T3,0.9882603455880081,0.988271648289908,f1,0.22040128707885742,0.016851425170898438,2.1839182376861572,0.22040128707885742,0.016851425170898438,2.1839182376861572,1,True,3
