,Pred_Benign,Pred_BruteForce,Pred_DDoS,Pred_DoS,Pred_Mirai,Pred_Recon,Pred_Spoofing,Pred_Web
Real_Benign,0.695,0.0925,0.0,0.0,0.0,0.0875,0.025,0.1
Real_BruteForce,0.14,0.56,0.0,0.0,0.0,0.0875,0.0125,0.2
Real_DDoS,0.0,0.0,0.7375,0.2625,0.0,0.0,0.0,0.0
Real_DoS,0.0,0.0,0.1175,0.8825,0.0,0.0,0.0,0.0
Real_Mirai,0.0,0.0,0.0,0.0025,0.9975,0.0,0.0,0.0
Real_Recon,0.1025,0.085,0.0,0.0,0.0,0.6025,0.0225,0.1875
Real_Spoofing,0.0875,0.0325,0.0,0.0,0.0,0.0125,0.8175,0.05
Real_Web,0.085,0.085,0.0,0.0,0.0,0.165,0.055,0.61
