rank,ensemble_weight,type,cost,duration
1,0.24,random_forest,0.35039744710797316,143.82820010185242
2,0.04,decision_tree,0.44911278171231306,5.526084661483765
3,0.44,qda,0.8713122695045745,196.7075400352478
4,0.28,sgd,0.9873933222378659,3.431218385696411
