model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L3,0.7556867857260903,0.746644644345988,f1_macro,10.308367729187012,6.1150524616241455,421.06462478637695,0.009746789932250977,0.008655309677124023,1.4088335037231445,3,True,10
LightGBM_BAG_L1,0.7550493192375078,0.7412250662255964,f1_macro,3.305097818374634,1.7584011554718018,83.82428908348083,3.305097818374634,1.7584011554718018,83.82428908348083,1,True,1
WeightedEnsemble_L2,0.75228521770788,0.7417733803239348,f1_macro,6.845035552978516,3.914191722869873,244.54645943641663,0.009450197219848633,0.008080244064331055,0.7685506343841553,2,True,5
XGBoost_BAG_L2,0.7517955870214446,0.7424335265836698,f1_macro,8.295614004135132,4.720973253250122,268.8895175457001,0.4148707389831543,0.11908960342407227,20.507251501083374,2,True,9
LightGBM_BAG_L2,0.7507091072075938,0.7420637408689787,f1_macro,8.948896169662476,5.0011537075042725,376.68241238594055,1.068152904510498,0.39927005767822266,128.30014634132385,2,True,6
XGBoost_BAG_L1,0.7506467097525485,0.7392184389696046,f1_macro,2.7702584266662598,1.4985406398773193,147.90679812431335,2.7702584266662598,1.4985406398773193,147.90679812431335,1,True,4
ExtraTrees_BAG_L2,0.7503771496552378,0.7390642424648599,f1_macro,9.02733850479126,5.369028806686401,253.14414596557617,1.1465952396392822,0.7671451568603516,4.761879920959473,2,True,8
RandomForest_BAG_L2,0.7490019335697917,0.7418299983873599,f1_macro,8.815597295761108,5.588037490844727,270.8483934402466,0.9348540306091309,0.9861538410186768,22.466127395629883,2,True,7
RandomForest_BAG_L1,0.7417097003593276,0.7266264121837809,f1_macro,0.7602291107177734,0.6491696834564209,12.046821594238281,0.7602291107177734,0.6491696834564209,12.046821594238281,1,True,2
ExtraTrees_BAG_L1,0.7250722527437148,0.7076587552418795,f1_macro,1.0451579093933105,0.6957721710205078,4.6043572425842285,1.0451579093933105,0.6957721710205078,4.6043572425842285,1,True,3
