Framework,Macro-F1
autogluon,0.6730008235285796
sklearn,0.6724622800406317
tpot,0.6611174525193945
autosklearn,0.6565721881133701
lazypredict,0.6564573801329612
autopytorch,0.5683745134003801
flaml,0.5512313712937149
pycaret,0.1246405296355702
autokeras,0.0942793904112697
